Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C20, C27, C30, C4, C7",0805,6,470nF,C13967
"C10, C18",0402,2,22nF,C1532
"C11, C21, C22, C8",0603,4,2.2uF,C23630
"C12, C13, C14, C17, C19, C23, C24, C9",0402,8,100nF,C307331
"C15, C16, C25, C26",1206,4,10uF,C13585
"C2, C28, C29, C3, C31, C32, C5, C6",0805,8,220nF,C5378
D1,0603,1,GREEN,C72043
"J1, J2",P3.50mm_4POS_Right_TE,2,2350514-4,C395831
J14,PinHeader_1x10_P2.54mm_Vertical,1,Digital,C492409
J15,PinHeader_1x08_P2.54mm_Vertical,1,Digital,C706880
J17,PinHeader_1x08_P2.54mm_Vertical,1,Communication,C706880
J18,PinSocket_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,C92272
J5,PinHeader_1x08_P2.54mm_Vertical,1,Power,C706880
"J6, J7",PinHeader_1x08_P2.54mm_Vertical,2,Analog,C706880
"R1, R10, R11, R18, R19, R2, R20, R21, R25, R26, R27, R28, R3, R4, R8, R9",0603,16,22,C23345
"R12, R13, R22, R23, R29, R30, R5, R6",0603,8,47,C23182
"R14, R24, R31, R7",2010,4,0.075,C5204050
"R15, R17",0603,2,2.2,C22939
R16,0603,1,1k,C21190
"TB1, TB2, TB3",Screw_P5.08mm_2POS_PHX,3,1715721,C8465
TP1,TestPoint_Keystone_5015_Micro-Minature,1,MISO,C5199798
TP2,TestPoint_Keystone_5015_Micro-Minature,1,MOSI,C5199798
TP4,TestPoint_Keystone_5015_Micro-Minature,1,CLK,C5199798
TP5,TestPoint_Keystone_5015_Micro-Minature,1,CS2,C5199798
TP6,TestPoint_Keystone_5015_Micro-Minature,1,CS1,C5199798
TP7,TestPoint_Keystone_5015_Micro-Minature,1,DRV_EN_2,C5199798
TP9,TestPoint_Keystone_5015_Micro-Minature,1,DRV_EN_1,C5199798
"U1, U10, U2, U3, U5, U7, U8, U9",SOP-8_3.9x4.9mm_P1.27mm,8,AO4882,C3040598
"U4, U6",TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias,2,TMC5160A-TA,C516354
