Designator,Mid X,Mid Y,Rotation,Layer
C1,148.865,-87.57,90.0,top
C10,167.010002,-93.9075,0.0,bottom
C11,158.13,-91.615,180.0,bottom
C12,167.584999,-92.4275,90.0,bottom
C13,166.585,-92.4275,90.0,bottom
C14,158.705001,-92.907499,180.0,bottom
C15,123.569999,-102.96,0.0,top
C16,123.569999,-105.5,0.0,top
C17,164.598514,-107.520799,270.0,top
C18,167.011016,-111.933301,180.0,top
C19,167.586014,-113.413301,270.0,top
C2,167.864263,-89.297996,315.0,top
C20,170.79,-110.099563,90.0,bottom
C21,158.136016,-111.635801,0.0,top
C22,158.131015,-114.2258,0.0,top
C23,166.586016,-113.413301,270.0,top
C24,158.706015,-112.933302,0.0,top
C25,123.572449,-100.428175,0.0,top
C26,123.572449,-97.888174,0.0,top
C27,148.866014,-118.2708,270.0,bottom
C28,167.865279,-116.542805,135.0,bottom
C29,163.588514,-115.8458,180.0,top
C3,163.5875,-89.995,0.0,bottom
C30,149.586015,-106.6158,180.0,bottom
C31,161.808514,-119.318299,180.0,bottom
C32,157.926014,-116.7258,45.0,bottom
C4,149.585,-99.225,0.0,top
C5,161.8075,-86.522501,0.0,top
C6,157.925,-89.115,225.0,top
C7,170.15,-95.8575,270.0,top
C8,158.135001,-94.204999,180.0,bottom
C9,164.5975,-98.32,90.0,bottom
D1,183.500801,-97.5517,270.0,top
J1,115.94,-86.764999,270.0,top
J14,135.122585,-80.01,180.0,bottom
J15,159.50658499999997,-80.01,180.0,bottom
J17,182.366585,-80.01,180.0,bottom
J18,169.818985,-102.9208,270.0,bottom
J2,115.94,-119.1808,270.0,top
J5,141.726585,-128.27,180.0,bottom
J6,164.586585,-128.27,180.0,bottom
J7,187.44658500000003,-128.27,180.0,bottom
R1,146.29,-85.56,180.0,top
R10,152.755,-91.989999,180.0,top
R11,152.755,-93.65,0.0,top
R12,131.005,-99.375,90.0,top
R13,158.32,-100.5,0.0,top
R14,131.005,-94.557501,270.0,top
R15,172.14,-95.735,270.0,top
R16,181.4408,-97.5142,270.0,top
R17,172.64,-110.099563,90.0,bottom
R18,146.291015,-120.2808,0.0,bottom
R19,152.756016,-117.7808,180.0,bottom
R2,152.755,-88.06,0.0,top
R20,152.756015,-121.860801,0.0,bottom
R21,152.756016,-120.1708,180.0,bottom
R22,157.076014,-107.3108,180.0,bottom
R23,152.756015,-108.5508,180.0,bottom
R24,131.006014,-119.633301,90.0,bottom
R25,152.761016,-115.9608,0.0,bottom
R26,152.756015,-110.210801,180.0,bottom
R27,152.756016,-113.850801,0.0,bottom
R28,152.756016,-112.1908,180.0,bottom
R29,131.006015,-106.4658,270.0,bottom
R3,152.755,-83.98,180.0,top
R30,158.321015,-105.3408,180.0,bottom
R31,131.006015,-111.283298,90.0,bottom
R4,152.755,-85.67,0.0,top
R5,157.075,-98.53,0.0,top
R6,152.755,-97.29,0.0,top
R7,131.005,-86.207499,270.0,top
R8,152.76,-89.88,180.0,top
R9,152.755,-95.63,0.0,top
TB1,114.91,-102.28,90.0,top
TB2,194.77,-118.08999999999999,270.0,top
TB3,194.77,-88.6,270.0,top
TP1,182.34,-106.164515,180.0,top
TP2,182.33,-109.29,180.0,top
TP4,182.3,-112.48,180.0,top
TP5,126.38,-127.92,270.0,top
TP6,126.38,-84.25,90.0,top
TP7,171.77,-124.67,180.0,top
TP9,171.77,-83.57,180.0,top
U1,144.07,-89.155,270.0,top
U10,136.461015,-108.335799,270.0,bottom
U2,136.459995,-89.154999,270.0,top
U3,144.070005,-97.505001,270.0,top
U4,162.8475,-94.1575,270.0,top
U5,136.46,-97.505001,270.0,top
U6,162.848514,-111.6833,270.0,bottom
U7,144.071015,-116.6858,270.0,bottom
U8,136.46101,-116.685801,270.0,bottom
U9,144.071019,-108.335799,270.0,bottom
